epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,137.716,1.67405,0.97207,1.07257,0.47254,0.46724,0.39907,0.16742,2.3259,1.78809,1.47244,0.000919704,0.000919704,0.000919704
74,139.308,1.64195,1.01301,1.09554,0.41528,0.45766,0.41545,0.16077,2.33946,1.80219,1.48235,0.000912631,0.000912631,0.000912631
75,140.828,1.5754,0.97233,1.07235,0.48521,0.48059,0.4652,0.18711,2.29321,1.7089,1.48802,0.000905557,0.000905557,0.000905557
76,142.395,1.6011,0.96438,1.07573,0.53504,0.46488,0.48283,0.20509,2.24032,1.64919,1.46569,0.000898484,0.000898484,0.000898484
77,143.979,1.57698,0.96607,1.08507,0.49622,0.49362,0.48208,0.19752,2.27186,1.66301,1.48853,0.00089141,0.00089141,0.00089141
78,145.523,1.56388,0.93966,1.11184,0.48022,0.49863,0.4811,0.18834,2.29793,1.69192,1.5017,0.000884337,0.000884337,0.000884337
79,147.094,1.55197,0.96779,1.08943,0.52579,0.48457,0.48737,0.19227,2.29541,1.6486,1.50662,0.000877263,0.000877263,0.000877263
80,148.637,1.64525,0.93744,1.10127,0.52456,0.49912,0.47762,0.18402,2.28036,1.65156,1.51302,0.00087019,0.00087019,0.00087019
81,150.253,1.55227,0.97702,1.08685,0.52832,0.48299,0.44935,0.18203,2.29301,1.67862,1.52036,0.000863116,0.000863116,0.000863116
82,151.828,1.60483,0.97097,1.10126,0.52271,0.49554,0.44152,0.17856,2.29076,1.70276,1.53604,0.000856042,0.000856042,0.000856042
83,153.389,1.52648,0.90288,1.04811,0.45509,0.49345,0.44136,0.16522,2.30716,1.69426,1.53696,0.000848969,0.000848969,0.000848969
84,154.951,1.55868,0.92538,1.08611,0.4948,0.48085,0.45333,0.17115,2.29795,1.66856,1.50116,0.000841895,0.000841895,0.000841895
85,156.506,1.52605,0.95643,1.09463,0.48682,0.53907,0.47061,0.18014,2.29545,1.65376,1.48059,0.000834822,0.000834822,0.000834822
86,158.033,1.50138,0.96117,1.09215,0.52898,0.49361,0.46569,0.19025,2.30554,1.6836,1.48401,0.000827748,0.000827748,0.000827748
87,159.581,1.52241,0.90618,1.0655,0.47259,0.53437,0.45197,0.18228,2.29661,1.69902,1.46585,0.000820675,0.000820675,0.000820675
88,161.164,1.51379,0.8933,1.03549,0.47246,0.50553,0.43093,0.17854,2.31336,1.67439,1.46314,0.000813601,0.000813601,0.000813601
89,162.735,1.53219,0.89383,1.05787,0.54466,0.4767,0.42844,0.17232,2.33823,1.63861,1.48453,0.000806528,0.000806528,0.000806528
90,164.245,1.59652,0.9206,1.07157,0.55556,0.42087,0.40513,0.15813,2.32496,1.67967,1.48507,0.000799454,0.000799454,0.000799454
91,165.82,1.58161,0.95223,1.10187,0.52588,0.46861,0.40483,0.16047,2.32196,1.72384,1.49612,0.00079238,0.00079238,0.00079238
92,167.385,1.59133,0.95981,1.08497,0.55544,0.48571,0.45925,0.18481,2.30255,1.6741,1.49902,0.000785307,0.000785307,0.000785307
93,168.947,1.53649,0.93218,1.07722,0.54102,0.50001,0.48612,0.2072,2.245,1.62455,1.48065,0.000778233,0.000778233,0.000778233
94,170.531,1.53265,0.91,1.05378,0.4812,0.52514,0.48799,0.20854,2.20096,1.57932,1.467,0.00077116,0.00077116,0.00077116
95,172.144,1.50089,0.93666,1.06819,0.52152,0.46402,0.49168,0.20806,2.20105,1.58471,1.45755,0.000764086,0.000764086,0.000764086
96,173.761,1.46822,0.87756,1.04424,0.51385,0.49005,0.47665,0.20008,2.28834,1.64974,1.4959,0.000757013,0.000757013,0.000757013
97,175.3,1.46999,0.9299,1.07367,0.51574,0.46711,0.47161,0.19001,2.33705,1.67271,1.52942,0.000749939,0.000749939,0.000749939
98,176.857,1.42958,0.84067,1.01841,0.47912,0.54629,0.49243,0.18551,2.34218,1.68039,1.5464,0.000742866,0.000742866,0.000742866
99,178.427,1.41494,0.82332,1.01415,0.48266,0.50161,0.44742,0.1803,2.31033,1.69131,1.52039,0.000735792,0.000735792,0.000735792
100,179.983,1.43821,0.80891,1.02327,0.50225,0.51634,0.46406,0.19238,2.28132,1.65487,1.51389,0.000728719,0.000728719,0.000728719
101,181.504,1.39512,0.79624,0.99646,0.55274,0.51355,0.49186,0.2062,2.26956,1.63523,1.51628,0.000721645,0.000721645,0.000721645
102,183.04,1.455,0.88412,1.03902,0.57717,0.49349,0.48586,0.19366,2.30009,1.64379,1.53344,0.000714571,0.000714571,0.000714571
103,184.635,1.40366,0.81589,1.01567,0.58453,0.48535,0.48505,0.18415,2.31766,1.63671,1.53419,0.000707498,0.000707498,0.000707498
104,186.149,1.43055,0.82154,1.03338,0.60235,0.48853,0.5004,0.19597,2.28154,1.57618,1.50726,0.000700424,0.000700424,0.000700424
105,187.675,1.41643,0.78111,1.02614,0.65471,0.46885,0.51097,0.20324,2.23885,1.55668,1.49701,0.000693351,0.000693351,0.000693351
106,189.225,1.36737,0.81002,1.02632,0.62566,0.51075,0.51252,0.20415,2.26019,1.58527,1.51812,0.000686277,0.000686277,0.000686277
107,190.793,1.39204,0.81629,1.04313,0.58468,0.51302,0.48182,0.19566,2.29499,1.61477,1.52025,0.000679204,0.000679204,0.000679204
108,192.342,1.38285,0.80612,1.02163,0.57029,0.50261,0.4822,0.18573,2.33167,1.62587,1.5264,0.00067213,0.00067213,0.00067213
109,193.913,1.30045,0.7558,0.9891,0.52448,0.54414,0.48555,0.18214,2.40573,1.63652,1.55393,0.000665057,0.000665057,0.000665057
110,195.515,1.51055,0.84956,1.04301,0.52987,0.51743,0.4704,0.17709,2.40889,1.63694,1.55616,0.000657983,0.000657983,0.000657983
111,197.072,1.44117,0.83381,1.03689,0.54425,0.51907,0.47098,0.18543,2.39145,1.61865,1.5502,0.000650909,0.000650909,0.000650909
112,198.649,1.45659,0.8421,1.04782,0.5736,0.48176,0.46739,0.19131,2.37068,1.64143,1.54274,0.000643836,0.000643836,0.000643836
113,200.221,1.34111,0.79649,1.02099,0.53873,0.50445,0.46869,0.19271,2.37029,1.64411,1.5551,0.000636762,0.000636762,0.000636762
114,201.777,1.42321,0.83988,1.02323,0.52127,0.49074,0.45055,0.18043,2.363,1.65008,1.5565,0.000629689,0.000629689,0.000629689
115,203.368,1.35308,0.7953,1.02313,0.50741,0.474,0.42756,0.16213,2.37049,1.67565,1.54775,0.000622615,0.000622615,0.000622615
116,204.941,1.38007,0.76712,1.00238,0.48512,0.47434,0.41604,0.15069,2.4174,1.74235,1.5596,0.000615542,0.000615542,0.000615542
117,206.588,1.35211,0.77772,1.01137,0.49635,0.46099,0.41617,0.15764,2.397,1.77021,1.55451,0.000608468,0.000608468,0.000608468
118,208.135,1.32515,0.78186,0.98433,0.45483,0.54214,0.44491,0.17566,2.35591,1.77641,1.53898,0.000601395,0.000601395,0.000601395
119,209.707,1.30232,0.75949,0.97969,0.49443,0.50504,0.4509,0.18189,2.30588,1.73173,1.50863,0.000594321,0.000594321,0.000594321
120,211.264,1.26237,0.73819,0.96952,0.56604,0.47313,0.45417,0.19012,2.26674,1.71036,1.50499,0.000587248,0.000587248,0.000587248
121,212.808,1.36102,0.79395,1.01482,0.5741,0.47046,0.47099,0.19208,2.27286,1.71948,1.51208,0.000580174,0.000580174,0.000580174
122,214.359,1.26997,0.74366,0.98502,0.58911,0.4867,0.477,0.19698,2.28327,1.75297,1.52135,0.0005731,0.0005731,0.0005731
123,215.947,1.34113,0.7637,0.98317,0.57207,0.48704,0.48319,0.19483,2.29714,1.77246,1.50508,0.000566027,0.000566027,0.000566027
124,217.487,1.22711,0.74242,0.9785,0.54601,0.45757,0.47179,0.19518,2.33477,1.77084,1.51335,0.000558953,0.000558953,0.000558953
125,219.089,1.35932,0.79718,1.01721,0.59111,0.44378,0.48252,0.20332,2.35965,1.73732,1.53287,0.00055188,0.00055188,0.00055188
126,220.704,1.3165,0.75881,0.98208,0.62892,0.46563,0.49891,0.20778,2.34187,1.68396,1.52771,0.000544806,0.000544806,0.000544806
127,222.293,1.22029,0.7104,0.95935,0.62584,0.4736,0.49395,0.21001,2.31988,1.6781,1.51569,0.000537733,0.000537733,0.000537733
128,223.933,1.27201,0.73884,0.98813,0.6288,0.45734,0.49642,0.21397,2.3048,1.6624,1.50498,0.000530659,0.000530659,0.000530659
129,225.572,1.28808,0.74406,0.98473,0.62854,0.45461,0.49602,0.21085,2.30301,1.6513,1.51069,0.000523586,0.000523586,0.000523586
130,227.203,1.20806,0.70646,0.97458,0.52998,0.51791,0.49211,0.2037,2.30871,1.63474,1.52033,0.000516512,0.000516512,0.000516512
131,228.758,1.27103,0.72586,0.98793,0.58635,0.45429,0.47755,0.1934,2.31623,1.64694,1.52778,0.000509438,0.000509438,0.000509438
132,230.292,1.23009,0.72549,0.96308,0.60065,0.44043,0.46277,0.18803,2.3172,1.6493,1.53233,0.000502365,0.000502365,0.000502365
133,231.919,1.22192,0.7057,0.97313,0.57006,0.48489,0.46912,0.19018,2.30818,1.66424,1.52948,0.000495291,0.000495291,0.000495291
134,233.479,1.18823,0.7156,0.97584,0.55485,0.50034,0.4748,0.1908,2.32311,1.67477,1.53498,0.000488218,0.000488218,0.000488218
135,235.097,1.22394,0.6802,0.9513,0.57084,0.49869,0.4857,0.19771,2.33697,1.67349,1.54781,0.000481144,0.000481144,0.000481144
136,236.677,1.25966,0.70391,0.97242,0.56085,0.491,0.48464,0.20165,2.34238,1.67508,1.55421,0.000474071,0.000474071,0.000474071
137,238.266,1.2439,0.70869,0.98787,0.5951,0.48562,0.49258,0.19615,2.35776,1.69819,1.55957,0.000466997,0.000466997,0.000466997
138,239.811,1.21565,0.67866,0.96598,0.57343,0.49101,0.48563,0.19175,2.36225,1.70935,1.55389,0.000459924,0.000459924,0.000459924
139,241.389,1.21932,0.70018,0.96957,0.54691,0.5035,0.49569,0.19895,2.35361,1.72325,1.55258,0.00045285,0.00045285,0.00045285
140,242.953,1.2374,0.71962,0.97836,0.48692,0.55667,0.49331,0.20106,2.33875,1.69817,1.54179,0.000445777,0.000445777,0.000445777
141,244.49,1.18106,0.68664,0.94845,0.48413,0.53313,0.47626,0.19662,2.34347,1.67845,1.54904,0.000438703,0.000438703,0.000438703
142,246.024,1.14131,0.66931,0.95807,0.45411,0.51916,0.45186,0.18368,2.33739,1.67945,1.54279,0.000431629,0.000431629,0.000431629
143,247.567,1.21104,0.69013,0.95229,0.45775,0.53744,0.45871,0.18581,2.34803,1.67517,1.55127,0.000424556,0.000424556,0.000424556
144,249.119,1.24674,0.70119,0.9685,0.45802,0.54023,0.4743,0.18807,2.34953,1.6702,1.55002,0.000417482,0.000417482,0.000417482
145,250.67,1.12618,0.67818,0.95684,0.57904,0.4696,0.48646,0.19543,2.35063,1.66857,1.56778,0.000410409,0.000410409,0.000410409
146,252.262,1.18252,0.68306,0.94165,0.49845,0.54969,0.49233,0.20067,2.33966,1.65347,1.57298,0.000403335,0.000403335,0.000403335
147,253.802,1.19184,0.6657,0.96032,0.49871,0.53744,0.48327,0.1987,2.33617,1.6634,1.58183,0.000396262,0.000396262,0.000396262
148,255.329,1.17917,0.65511,0.95217,0.50431,0.5548,0.48066,0.19807,2.34938,1.66475,1.59309,0.000389188,0.000389188,0.000389188
149,256.817,1.1413,0.66407,0.95914,0.54738,0.50923,0.49752,0.20401,2.34381,1.66641,1.58917,0.000382115,0.000382115,0.000382115
150,258.395,1.1318,0.65484,0.9325,0.57791,0.48701,0.50406,0.2039,2.32648,1.67504,1.56949,0.000375041,0.000375041,0.000375041
151,259.962,1.10228,0.63876,0.9327,0.57012,0.49062,0.49434,0.19594,2.31879,1.69487,1.55838,0.000367967,0.000367967,0.000367967
152,261.507,1.18346,0.67915,0.95612,0.53775,0.50222,0.48766,0.19449,2.30393,1.66923,1.54839,0.000360894,0.000360894,0.000360894
153,263.017,1.13184,0.64516,0.93887,0.49233,0.54189,0.47936,0.19029,2.32142,1.69258,1.55309,0.00035382,0.00035382,0.00035382
154,264.556,1.17277,0.6911,0.95107,0.46729,0.5209,0.4643,0.19056,2.33701,1.7202,1.55697,0.000346747,0.000346747,0.000346747
